dataset,categoria,ferramenta,fold,tempo
diabetes,Principal,TransmogrifAI,6,06:15
diabetes,Principal,TransmogrifAI,7,06:16
diabetes,Principal,TransmogrifAI,8,06:22
diabetes,Principal,TransmogrifAI,9,06:25
diabetes,Principal,TransmogrifAI,10,06:32
diabetes,Deep Learning,H2O AutoML,1,60:00
diabetes,Deep Learning,H2O AutoML,2,60:00
diabetes,Deep Learning,H2O AutoML,3,60:00
diabetes,Deep Learning,H2O AutoML,4,60:00
diabetes,Deep Learning,H2O AutoML,5,60:00
diabetes,Deep Learning,H2O AutoML,6,60:00
diabetes,Deep Learning,H2O AutoML,7,60:00
diabetes,Deep Learning,H2O AutoML,8,60:00
diabetes,Deep Learning,H2O AutoML,9,60:00
diabetes,Deep Learning,H2O AutoML,10,60:00
diabetes,Deep Learning,Auto-PyTorch,1,60:00
diabetes,Deep Learning,Auto-PyTorch,2,60:00
diabetes,Deep Learning,Auto-PyTorch,3,60:00
diabetes,Deep Learning,Auto-PyTorch,4,60:00
diabetes,Deep Learning,Auto-PyTorch,5,60:00
diabetes,Deep Learning,Auto-PyTorch,6,60:00
diabetes,Deep Learning,Auto-PyTorch,7,60:00
diabetes,Deep Learning,Auto-PyTorch,8,60:00
diabetes,Deep Learning,Auto-PyTorch,9,60:00
diabetes,Deep Learning,Auto-PyTorch,10,60:00
diabetes,Deep Learning,Auto-Keras,1,10:56
diabetes,Deep Learning,Auto-Keras,2,21:27
diabetes,Deep Learning,Auto-Keras,3,12:06
diabetes,Deep Learning,Auto-Keras,4,12:15
diabetes,Deep Learning,Auto-Keras,5,09:24
diabetes,Deep Learning,Auto-Keras,6,12:47
diabetes,Deep Learning,Auto-Keras,7,21:12
diabetes,Deep Learning,Auto-Keras,8,14:37
diabetes,Deep Learning,Auto-Keras,9,11:47
diabetes,Deep Learning,Auto-Keras,10,11:33
diabetes,XGBoost,H2O AutoML,1,00:12
diabetes,XGBoost,H2O AutoML,2,00:12
diabetes,XGBoost,H2O AutoML,3,00:12
diabetes,XGBoost,H2O AutoML,4,00:12
diabetes,XGBoost,H2O AutoML,5,00:12
diabetes,XGBoost,H2O AutoML,6,00:12
diabetes,XGBoost,H2O AutoML,7,00:12
diabetes,XGBoost,H2O AutoML,8,00:23
diabetes,XGBoost,H2O AutoML,9,00:12
diabetes,XGBoost,H2O AutoML,10,00:12
diabetes,XGBoost,Rminer,1,00:02
diabetes,XGBoost,Rminer,2,00:05
diabetes,XGBoost,Rminer,3,00:03
diabetes,XGBoost,Rminer,4,00:03
diabetes,XGBoost,Rminer,5,00:03
diabetes,XGBoost,Rminer,6,00:03
diabetes,XGBoost,Rminer,7,00:03
diabetes,XGBoost,Rminer,8,00:02
diabetes,XGBoost,Rminer,9,00:02
diabetes,XGBoost,Rminer,10,00:03
qsar,Principal,H2O AutoML,1,01:07
qsar,Principal,H2O AutoML,2,01:03
qsar,Principal,H2O AutoML,3,01:14
qsar,Principal,H2O AutoML,4,01:10
qsar,Principal,H2O AutoML,5,01:10
qsar,Principal,H2O AutoML,6,01:04
qsar,Principal,H2O AutoML,7,01.07
qsar,Principal,H2O AutoML,8,01:19
qsar,Principal,H2O AutoML,9,01:08
qsar,Principal,H2O AutoML,10,01:05
qsar,Principal,AutoGluon,1,01:12
qsar,Principal,AutoGluon,2,01:10
qsar,Principal,AutoGluon,3,01:04
qsar,Principal,AutoGluon,4,01:12
qsar,Principal,AutoGluon,5,01:09
qsar,Principal,AutoGluon,6,01:08
qsar,Principal,AutoGluon,7,01:09
qsar,Principal,AutoGluon,8,01:08
qsar,Principal,AutoGluon,9,01:06
qsar,Principal,AutoGluon,10,01:08
qsar,Principal,AutoSklearn,1,60:00
qsar,Principal,AutoSklearn,2,60:00
qsar,Principal,AutoSklearn,3,60:00
qsar,Principal,AutoSklearn,4,60:00
qsar,Principal,AutoSklearn,5,60:00
qsar,Principal,AutoSklearn,6,60:00
qsar,Principal,AutoSklearn,7,60:00
qsar,Principal,AutoSklearn,8,60:00
qsar,Principal,AutoSklearn,9,60:00
qsar,Principal,AutoSklearn,10,60:00
qsar,Principal,TPOT,1,02:46
qsar,Principal,TPOT,2,06:44
qsar,Principal,TPOT,3,13:35
qsar,Principal,TPOT,4,10:05
qsar,Principal,TPOT,5,03:42
qsar,Principal,TPOT,6,06:52
qsar,Principal,TPOT,7,09:33
qsar,Principal,TPOT,8,00:04
qsar,Principal,TPOT,9,06:40
qsar,Principal,TPOT,10,03:30
qsar,Principal,Rminer,1,02:58
qsar,Principal,Rminer,2,02:55
qsar,Principal,Rminer,3,06:48
qsar,Principal,Rminer,4,05:59
qsar,Principal,Rminer,5,06:13
qsar,Principal,Rminer,6,06:03
qsar,Principal,Rminer,7,06:34
qsar,Principal,Rminer,8,06:30
qsar,Principal,Rminer,9,05:14
qsar,Principal,Rminer,10,04:05
